"Species","Migration","LogMass","corvoidea","sylvioidea","muscicapoidea","passeroidea","picidae","scolopacidae"
"Phylloscopus_trochilus","L",-1.08051166845676,0,1,0,0,0,0
"Turdus_iliacus","S",0.139919973822696,0,0,1,0,0,0
"Fringilla_coelebs","S",-0.50551186505845,0,0,0,1,0,0
"Turdus_philomelos","S",0.229829888967753,0,0,1,0,0,0
"Carduelis_spinus","S",-0.843951534732695,0,0,0,1,0,0
"Parus_major","R",-0.599822989392858,0,1,0,0,0,0
"Anthus_trivialis","L",-0.476915709818536,0,0,0,1,0,0
"Erithacus_rubecula","S",-0.710375560109551,0,0,1,0,0,0
"Cuculus_canorus","L",0.54144316398801,0,0,0,0,0,0
"Muscicapa_striata","L",-0.710375560109551,0,0,1,0,0,0
"Ficedula_hypoleuca","L",-0.843951534732695,0,0,1,0,0,0
"Turdus_pilaris","S",0.506022792674455,0,0,1,0,0,0
"Loxia_curvirostra","R",-0.105033853948813,0,0,0,1,0,0
"Columba_palumbus","S",1.50518688148041,0,0,0,0,0,0
"Sylvia_borin","L",-0.566825624963593,0,1,0,0,0,0
"Corvus_corone","R",1.53528863306622,1,0,0,0,0,0
"Dendrocopos_major","R",0.40075874612904,0,0,0,0,1,0
"Emberiza_citrinella","R",-0.305986852657249,0,0,0,1,0,0
"Turdus_merula","S",0.474939086276852,0,0,1,0,0,0
"Sylvia_curruca","L",-0.895443614283153,0,1,0,0,0,0
"Regulus_regulus","R",-1.3413504407631,0,0,0,0,0,0
"Prunella_modularis","S",-0.599822989392858,0,0,0,1,0,0
"Phoenicurus_phoenicurus","L",-0.751893679137195,0,0,1,0,0,0
"Parus_caeruleus","R",-0.951418691538395,0,1,0,0,0,0
"Parus_montanus","R",-0.951418691538395,0,1,0,0,0,0
"Motacilla_alba","S",-0.566825624963593,0,0,0,1,0,0
"Carduelis_chloris","R",-0.32779597739211,0,0,0,1,0,0
"Phylloscopus_collybita","L",-1.1562823865895,0,1,0,0,0,0
"Tringa_ochropus","L",0.324988027996298,0,0,0,0,0,1
"Parus_cristatus","R",-0.895443614283153,0,1,0,0,0,0
"Sylvia_communis","L",-0.751893679137195,0,1,0,0,0,0
"Grus_grus","S",2.85985624466475,0,0,0,0,0,0
"Larus_canus","S",1.33909682795244,0,0,0,0,0,0
"Pica_pica","R",1.01818980932898,1,0,0,0,0,0
"Phylloscopus_sibilatrix","L",-1.01273245144354,0,1,0,0,0,0
"Turdus_viscivorus","S",0.558447878287314,0,0,1,0,0,0
"Hirundo_rustica","L",-0.599822989392858,0,1,0,0,0,0
"Sylvia_atricapilla","L",-0.566825624963593,0,1,0,0,0,0
"Tetrao_tetrix","R",2.00406567674698,0,0,0,0,0,0
"Pyrrhula_pyrrhula","R",-0.32779597739211,0,0,0,1,0,0
"Dryocopus_martius","R",1.32735425167288,0,0,0,0,1,0
"Certhia_familiaris","R",-1.08051166845676,0,0,0,0,0,0
"Alauda_arvensis","S",-0.171072048066457,0,1,0,0,0,0
"Corvus_corax","R",2.06441116686395,1,0,0,0,0,0
"Saxicola_rubetra","L",-0.671375282132693,0,0,1,0,0,0
"Garrulus_glandarius","R",0.770894854476244,1,0,0,0,0,0
"Numenius_arquata","S",1.74293119881959,0,0,0,0,0,1
"Carpodacus_erythrinus","L",-0.476915709818536,0,0,0,1,0,0
"Gallinago_gallinago","S",0.512063283696124,0,0,0,0,0,1
"Corvus_monedula","R",0.990215507754944,1,0,0,0,0,0
